train_accuracy_seven_f,"[0.8349285714285715, 0.8903571428571428]"
val_accuracy_seven_f,"[0.7558333333333334, 0.7581666666666667]"
test_accuracy_seven_f,"[0.724, 0.738]"
precision_seven_f,"[0.6517122186054826, 0.6631546594507728]"
recall_seven_f,"[0.6418700139241452, 0.6531931865851989]"
f1_seven_f,"[0.6387645210283576, 0.6573150948836977]"
kappa_seven_f,"[0.4983799580983692, 0.517891160249206]"
