train_accuracy_seven_f,"[0.9198571428571428, 0.8419285714285715]"
val_accuracy_seven_f,"[0.7821666666666667, 0.761]"
test_accuracy_seven_f,"[0.7935, 0.7715]"
precision_seven_f,"[0.7256864837340052, 0.695829410146994]"
recall_seven_f,"[0.7158026053339069, 0.6770434478928262]"
f1_seven_f,"[0.7204140056692232, 0.6850863877676682]"
kappa_seven_f,"[0.6203407281092648, 0.5744750190299054]"
