train_accuracy_seven_f,"[0.8349285714285715, 0.8903571428571428]"
val_accuracy_seven_f,"[0.7558333333333334, 0.7581666666666667]"
test_accuracy_seven_f,"[0.7635, 0.7605]"
precision_seven_f,"[0.6884401839511881, 0.6916454057427698]"
recall_seven_f,"[0.6765546986088299, 0.6676983507877997]"
f1_seven_f,"[0.6800604483349812, 0.6780904490398586]"
kappa_seven_f,"[0.5637593796344802, 0.5522437588715796]"
